latitude,longitude
37.722786,-122.43083
37.79338,-122.40613
37.732307,-122.45342
37.758583,-122.41984
37.790253,-122.43074
37.78357,-122.41927
37.78378,-122.41762
37.749306,-122.41377
37.721714,-122.39594
37.729385,-122.42056
37.783607,-122.38985
37.718754,-122.411674
37.749435,-122.41159
37.761837,-122.41936
37.788986,-122.40687
37.77746,-122.413155
37.71906,-122.384575
37.75864,-122.43225
37.716137,-122.463524
37.782078,-122.4838
37.778603,-122.40238
\N,\N
37.78803,-122.42175
37.802563,-122.44508
37.72617,-122.38381
37.792805,-122.41776
37.758633,-122.41905
37.77802,-122.421524
37.78235,-122.43252
37.785683,-122.459175
37.77974,-122.40716
37.777775,-122.41601
37.788498,-122.40677
37.74487,-122.4769
37.754467,-122.42148
37.78445,-122.41607
37.78445,-122.41607
37.765068,-122.46424
37.730167,-122.38585
37.805695,-122.40536
37.789837,-122.43403
37.78357,-122.41927
37.785805,-122.41574
37.78444,-122.44625
37.78444,-122.44625
37.764896,-122.400635
37.783516,-122.415886
37.765774,-122.42649
37.788048,-122.40284
37.7698,-122.44858
37.760426,-122.50593
37.720177,-122.39485
37.80676,-122.41214
37.726738,-122.44425
37.76863,-122.42442
37.789783,-122.404205
37.73457,-122.47412
\N,\N
37.78684,-122.45012
37.71073,-122.41877
37.77672,-122.41532
37.763187,-122.4073
37.750206,-122.388504
37.76356,-122.47717
37.776157,-122.42115
37.754337,-122.40546
37.727634,-122.403595
37.748318,-122.410545
\N,\N
37.79635,-122.39696
\N,\N
37.778328,-122.42664
37.750507,-122.42051
\N,\N
37.796776,-122.40068
37.807163,-122.4089
37.776157,-122.42115
37.78641,-122.408035
37.752796,-122.40913
37.72772,-122.432365
37.78223,-122.41029
\N,\N
37.760757,-122.43719
\N,\N
37.808212,-122.4158
37.78445,-122.41607
37.755886,-122.41127
37.726364,-122.38081
37.710594,-122.46929
37.75606,-122.477684
37.762474,-122.50177
37.722225,-122.39018
37.771896,-122.43209
37.806026,-122.41031
37.79448,-122.394745
37.79713,-122.41189
37.737156,-122.396515
37.785564,-122.42978
37.79822,-122.40386
37.73071,-122.4443
37.72916,-122.39242
37.786728,-122.41316
37.762974,-122.41121
37.786728,-122.41316
37.769,-122.436584
37.8022,-122.41797
37.76263,-122.4261
